,GSM21203,GSM21204,GSM21205,GSM21206,GSM21207,GSM21208,GSM21209,GSM21210,GSM21211,GSM21212,GSM21213,GSM21214,GSM21215,GSM21216,GSM21217,GSM21218,GSM21219,GSM21220,GSM21221,GSM21222,GSM21223,GSM21224,GSM21225,GSM21226,GSM21227,GSM21228,GSM21229,GSM21230,GSM21231,GSM21232,GSM21233
MIR4640,12.0600576357881,11.4805455968793,12.195635233929,11.779992725649,12.5146195102365,11.636154757145,12.6412095667803,11.930630614543,12.2052576511993,12.7422764989831,12.2871549939087,11.6680776407279,10.8511277795784,11.4468079588592,10.8021735209963,11.2537434397415,12.0193379078737,11.718306597654,11.2710044195142,11.7998120140239,11.8558168007416,12.3184930667236,12.0692865772043,11.8890903900698,11.7636407873792,12.1214588874434,11.6486592705615,12.1987172750149,11.7181231867358,11.8529040409862,11.4291150944529
RFC2,6.89499602786351,4.58290573460446,6.27393527627995,6.53623380412093,5.74945700584759,4.52252487041899,6.09644690610265,6.73147093231568,7.15894652761293,6.7350148273631,5.46839625259553,5.895438951857,6.00360826466933,6.86338847319633,5.73997600160818,7.44854905601539,6.84180656251711,5.96261401746125,7.05020304995933,7.16500150160712,6.41674550594964,7.04090730705006,7.32271776345533,6.29264090597028,6.80021316953589,6.99605315838432,6.72834148152119,6.61549805856673,7.4305313334819,6.28351100648726,5.74220503066158
HSPA6,6.66483511150111,5.76864803354542,7.63146510175767,12.9857928806235,6.50025091344023,7.94258220746174,8.12509507254428,5.6156255932678,7.23697587893058,6.92416133685306,5.93467353789591,5.13008341568563,5.88773929846836,7.02567245476736,7.62968810910703,9.42143056690317,7.92607746873109,10.3533859330522,5.45883521718088,6.08149459027916,7.22519710607797,6.99195327652849,7.64150907799085,6.70536346593801,7.67892477863687,7.29904661040895,6.9214967793507,7.43955898718105,7.38150864133081,7.97457936309389,5.45584579093617
PAX8,6.5445473242071,6.5436530785463,6.89783592373621,6.09754319494937,6.92630502582766,6.45324695462597,6.94646623645456,5.70294653689855,6.28836876708483,6.38885804965302,6.84083754769572,6.37748550115181,5.53350988998449,5.94713977195759,5.77572700422461,6.11061198394134,5.7748049089443,5.88756084139633,6.1964680460405,5.80693873809477,6.27900152418007,6.00907434197962,5.99100131628369,6.48241247503511,6.64617847325853,7.00568683891637,6.15605694107793,6.05185968641145,6.16430129421766,6.64731180481748,6.69279812038707
GUCA1A,8.14081725246737,7.62878010661813,8.19274981293246,6.7722504209169,6.91384501835384,7.81957226474597,7.11064213123628,7.0933503978157,7.71822743552038,7.38547490114112,7.25474091717268,6.86098267880332,8.23032993239399,8.64172163309273,8.63503047125025,6.82608357518222,7.83275734418018,7.61204757842148,7.82712640885174,7.08009919837706,6.55679946554601,6.41685420825675,7.33518207009201,7.32746007709649,7.49212132539268,7.3412117567893,6.5493450483368,7.23941608682982,6.93946418737536,7.56167273037664,7.22100909767886
MIR5193,8.96541462920138,6.92734849730989,7.43295143516383,7.10075720377185,8.40497931260941,6.91190005152139,8.35355080027162,8.06409989201174,8.04547632203655,8.63864515322149,7.33448236896506,6.59474473813985,6.65593658456291,7.41079033988423,6.87444286100331,7.47490423818948,8.45992653689353,6.25252366917766,6.90643109117699,7.54364854045958,7.96838222264891,8.1046448107081,8.1037482745937,7.34855111471112,7.9576799183382,8.05642987145351,7.33828158630422,8.48409488774396,8.05671817516167,8.29688958712015,7.3741150349013
THRA,8.31884362312737,7.29985278998458,7.62752753235608,8.33938767990455,7.93456362690808,8.04149308877661,7.51620504190891,7.55581444334688,7.7252439640736,7.88169737083727,7.78809735869025,8.03537607755684,7.26913610917606,7.73223514245616,7.67019943098445,8.05279937161745,7.27702449231829,7.80286560653611,7.81043196758436,7.60199110278511,8.11649207505195,7.89736035173779,7.4002828570988,8.07664890710651,7.72290188522136,7.64786632855104,7.81247166305299,7.6854279983758,7.39495211391691,8.12029768185801,7.20645585518638
PTPN21,5.47482951226544,5.24266355707212,5.48292280880153,5.33266377409102,5.02649084973639,4.37761277729441,5.53414387490848,5.31237954270736,4.49230892935641,6.20798016919632,6.17333683814122,3.89416802792067,3.79047218820297,4.31122038891705,4.57316487223794,4.30505672435571,5.16380739208411,4.99454695753346,4.90118407918172,5.15946865299604,4.63524616819716,5.08969196719078,4.46045456287675,4.55866828333791,4.86422832816465,4.82461210241194,4.69862288723204,5.73209961587792,5.01171944905298,5.51203841093196,5.31830564981118
CCL5,6.48683433497377,5.63825705649421,6.40356272866657,5.18849678372623,6.17686426451512,6.08905385315641,5.95284392426343,5.10427569966728,5.92114570429456,7.02836499861591,6.24200862845779,5.64165995333922,5.61506727472565,4.99138273129182,4.64858424221519,4.82477180495586,4.79949148551805,5.37321097269519,4.89891180865703,5.25451634315325,5.40546251783632,7.49954637354238,5.56721316011046,6.90619295575848,5.59836253039301,5.3991548912273,5.0776241611845,5.8045662781918,5.58064783656165,5.7179653258518,5.25976898663342
CYP2E1,5.39300600594936,5.75360378985164,5.90924130328764,5.10849380140861,6.91560028177201,6.20865896098044,6.16034597997058,6.21310668805827,5.44141210560414,6.00662244673449,5.42419774520903,6.0777465357103,5.48868377531502,5.89298080086822,5.76409897573461,6.23519003654593,5.81864004742268,5.62937064046415,5.57062475156629,6.11794521916583,5.58923544132305,5.48454537297775,6.5109776914744,6.20529084416665,5.33039684954917,5.79492360963629,6.28909314056271,5.77454147306317,4.97738894140831,5.96116695343434,6.0781193601029
